weight,token
0,I
0,In
0,The
0,You
0,and
0,it
0,that
0,the
0,to
0,what
0,A
0,ALL
0,After
0,All
0,Allah
0,An
0,And
0,Apr
0,Arizona
0,Arromdee
0,As
0,At
0,B
0,Benedikt
0,Bible
0,Bill
0,Bob
0,Bobby
0,But
0,By
0,C
0,COM
0,COM
0,CS
0,CWRU
0,California
0,Can
0,Christ
0,Christian
0,Christianity
0,Christians
0,Christmas
0,Cobb
0,College
0,Computer
0,Dan
0,Dave
0,David
0,Dean
0,Department
0,Dept
0,Distribution
0,Don
0,Dwyer
0,E
0,EDU
0,EDU
0,Earth
0,East
0,Einstein
0,FAQ
0,FOR
0,For
0,Frank
0,Fri
0,G
0,GMT
0,GO
0,Germany
0,God
0,Good
0,Gregg
0,Gulf
0,H
0,HELL
0,Halat
0,He
0,Here
0,How
0,However
0,I
0,IN
0,IS
0,If
0,Illinois
0,In
0,In-Reply-To
0,Inc
0,Institute
0,Is
0,Islam
0,It
0,J
0,James
0,Jesus
0,Jewish
0,Jim
0,John
0,Jon
0,Keith
0,Ken
0,Kent
0,Keywords
0,King
0,Koresh
0,LSD
0,Lines
0,Lippard
0,Livesey
0,Lucifer
0,M
0,Mark
0,Maybe
0,Mike
0,Mon
0,Morality
0,Mr
0,My
0,N
0,NOT
0,News
0,No
0,Now
0,O
0,OK
0,On
0,One
0,Or
0,Organization
0,P
0,Pasadena
0,People
0,Physics
0,Please
0,Pundurs
0,Quran
0,R
0,Rawlins
0,Re
0,References
0,Reply-To
0,Research
0,Robert
0,Ryan
0,S
0,Sandvik
0,Science
0,Sender
0,So
0,Sorry
0,State
0,Sun
0,System
0,T
0,TEK
0,TIN
0,TO
0,Technology
0,That
0,The
0,Then
0,There
0,Therefore
0,These
0,They
0,This
0,To
0,Tue
0,Tyre
0,U
0,USENET
0,UUCP
0,University
0,Wainwright
0,War
0,We
0,Wed
0,Well
0,What
0,Which
0,Who
0,Why
0,X
0,Xref
0,YOU
0,Yet
0,You
0,Your
0,a
0,able
0,abortion
0,about
0,above
0,ac
0,accept
0,according
0,account
0,action
0,actions
0,actual
0,actually
0,addition
0,after
0,again
0,against
0,agate
0,ago
0,agree
0,all
0,along
0,already
0,also
0,alt
0,although
0,always
0,am
0,among
0,an
0,analogy
0,and
0,andrew
0,animals
0,another
0,ans
0,answer
0,any
0,anyone
0,anything
0,ap
0,apple
0,apply
0,arabic
0,are
0,aren
0,argue
0,arguing
0,argument
0,arguments
0,arizona
0,around
0,arrogant
0,article
0,as
0,asd
0,ask
0,asked
0,assertion
0,assumption
0,at
0,atheism
0,atheist
0,atoms
0,att
0,attempt
0,attitude
0,au
0,au
0,away
0,bank
0,based
0,basis
0,bb3
0,be
0,bear
0,bears
0,because
0,become
0,been
0,before
0,behavior
0,being
0,belief
0,beliefs
0,believe
0,believed
0,below
0,best
0,better
0,between
0,beyond
0,bible
0,big
0,bio
0,bit
0,black
0,bogus
0,book
0,books
0,born
0,both
0,bu
0,but
0,by
0,c
0,ca
0,call
0,called
0,caltech
0,can
0,cannot
0,car
0,case
0,cause
0,cb
0,cc
0,ccit
0,certain
0,certainly
0,cis
0,civilian
0,civilians
0,claim
0,claiming
0,claims
0,clear
0,club
0,co
0,columbia
0,com
0,com
0,come
0,comes
0,common
0,compaq
0,completely
0,complicated
0,conclusion
0,consider
0,considered
0,correct
0,could
0,couldn
0,course
0,crabapple
0,created
0,creation
0,creationism
0,cso
0,ctr
0,culture
0,cwru
0,d
0,darwin
0,das-news
0,day
0,de
0,de
0,dead
0,dean
0,definitely
0,definition
0,deleted
0,deleted]
0,determine
0,dg
0,did
0,didn
0,die
0,difference
0,different
0,difficult
0,digex
0,disagree
0,discuss
0,discussion
0,do
0,does
0,doesn
0,don
0,down
0,dsinc
0,e
0,each
0,earth
0,ece
0,ecn
0,ed
0,edu
0,either
0,else
0,end
0,eng
0,enough
0,etc
0,eternal
0,europa
0,even
0,event
0,events
0,ever
0,every
0,everyone
0,everything
0,evidence
0,evolution
0,exactly
0,example
0,examples
0,except
0,exist
0,existence
0,exists
0,explain
0,explicitly
0,fact
0,fair
0,faith
0,fall
0,false
0,falsifiable
0,far
0,fault
0,few
0,fi
0,fido
0,find
0,first
0,for
0,form
0,found
0,free
0,friends
0,from
0,fs7
0,full
0,g
0,gatech
0,general
0,get
0,getting
0,give
0,given
0,go
0,goal
0,goals
0,god
0,gods
0,going
0,gone
0,good
0,got
0,gov
0,gravity
0,group
0,gtefsd
0,guess
0,guy
0,had
0,halat
0,happen
0,happened
0,happens
0,hard
0,harvard
0,has
0,hate
0,have
0,haven
0,having
0,he
0,head
0,heads
0,hear
0,heart
0,her
0,here
0,higher
0,him
0,himself
0,his
0,history
0,hole
0,hope
0,how
0,however
0,howland
0,hp
0,human
0,humans
0,husc-news
0,hypothesis
0,i
0,ibm
0,idea
0,if
0,implies
0,important
0,in
0,include
0,incorrect
0,increase
0,indeed
0,indiana
0,individual
0,information
0,innocent
0,ins
0,instance
0,interesting
0,into
0,is
0,isn
0,issue
0,it
0,its
0,jhu
0,jon
0,just
0,justify
0,kaflowitz
0,keep
0,kill
0,killed
0,killing
0,know
0,knowledge
0,knows
0,ksu
0,lack
0,large
0,last
0,latter
0,learn
0,least
0,left
0,less
0,let
0,liar
0,life
0,like
0,likely
0,line
0,lis
0,little
0,live
0,lives
0,livesey
0,ll
0,llnl
0,local
0,logic
0,long
0,look
0,looking
0,looks
0,lot
0,love
0,m
0,made
0,magnesium
0,make
0,makes
0,making
0,many
0,mathew
0,matter
0,may
0,mchp
0,me
0,mean
0,means
0,meant
0,measure
0,mechanics
0,mentioned
0,merely
0,might
0,mind
0,misc
0,mistake
0,moe
0,monash
0,moral
0,morality
0,more
0,most
0,motss
0,move
0,mps
0,mu
0,much
0,must
0,my
0,myself
0,na
0,nasa
0,natural
0,nature
0,near
0,necessary
0,need
0,net
0,network
0,never
0,new
0,news
0,night
0,nntp-server
0,no
0,noc
0,not
0,nothing
0,nott
0,now
0,number
0,object
0,objective
0,observation
0,observations
0,observed
0,obvious
0,odin
0,of
0,often
0,ohio-state
0,olivea
0,on
0,once
0,one
0,only
0,open
0,opinion
0,or
0,orbit
0,original
0,origins
0,other
0,others
0,oulu
0,our
0,out
0,over
0,own
0,pacific
0,part
0,particular
0,passages
0,past
0,pattern
0,peace
0,peachnet
0,people
0,percent
0,perfect
0,perhaps
0,person
0,physics
0,pipex
0,place
0,please
0,point
0,population
0,position
0,possible
0,post
0,posting
0,power
0,predictions
0,premise
0,present
0,pretty
0,principle
0,probabilities
0,probably
0,problem
0,problems
0,psu
0,purdue
0,put
0,quantum
0,question
0,questions
0,quite
0,quote
0,quotes
0,rather
0,re
0,read
0,reading
0,real
0,reality
0,really
0,reason
0,reasonable
0,reasons
0,refer
0,reference
0,regret
0,relativism
0,relativity
0,relevant
0,religion
0,religious
0,rest
0,reston
0,results
0,right
0,rusnews
0,rz
0,s
0,said
0,same
0,say
0,saying
0,says
0,school
0,science
0,sdd
0,second
0,see
0,seem
0,seems
0,seen
0,sei
0,sense
0,served
0,set
0,sgi
0,sgiblab
0,sgigate
0,she
0,short
0,should
0,show
0,side
0,silly
0,similar
0,simply
0,since
0,situation
0,sni
0,so
0,soc
0,social
0,sol
0,solntze
0,some
0,someone
0,something
0,sometimes
0,source
0,sources
0,spool
0,stand
0,start
0,state
0,statement
0,statements
0,stay
0,still
0,stuff
0,subject
0,subjective
0,such
0,sun
0,support
0,supported
0,sura
0,sure
0,swrinde
0,system
0,t
0,take
0,talk
0,talking
0,tell
0,telling
0,terms
0,text
0,texts
0,than
0,that
0,the
0,their
0,theism
0,them
0,themselves
0,then
0,theological
0,theories
0,theory
0,there
0,these
0,they
0,thing
0,things
0,think
0,this
0,those
0,though
0,thought
0,thoughts
0,thread
0,through
0,thus
0,time
0,times
0,to
0,told
0,too
0,took
0,total
0,translation
0,true
0,truth
0,try
0,trying
0,tu-bs
0,two
0,type
0,u
0,uci
0,ucs
0,ucsd
0,udel
0,uiuc
0,uk
0,uk
0,uknet
0,umd
0,umn
0,under
0,understand
0,unm
0,until
0,up
0,us
0,usc
0,use
0,used
0,useful
0,usenet
0,using
0,utexas
0,uucp
0,uunet
0,uwm
0,valid
0,value
0,values
0,various
0,ve
0,very
0,view
0,want
0,war
0,warwick
0,was
0,washington
0,wasn
0,way
0,ways
0,we
0,well
0,were
0,what
0,whatever
0,when
0,where
0,whether
0,which
0,who
0,why
0,will
0,wisc
0,wish
0,with
0,without
0,won
0,wonder
0,word
0,words
0,world
0,worse
0,would
0,wouldn
0,wpd
0,wri
0,writes
0,writing
0,wrong
0,wrote
0,wupost
0,x
0,yale
0,years
0,yes
0,yet
0,you
0,your
0,zaphod
0,Adobe
0,Advanced
0,Also
0,Analysis
0,Andrew
0,Any
0,Army
0,Australia
0,Ave
0,BBS
0,Both
0,Box
0,CA
0,Call
0,Canada
0,Center
0,Computing
0,D
0,Digital
0,Does
0,Dr
0,E-mail
0,Email
0,Engineering
0,Even
0,Followup-To
0,Group
0,IBM
0,II
0,Internet
0,MA
0,Many
0,Martin
0,Michael
0,Most
0,NOTE
0,National
0,New
0,North
0,Note
0,Office
0,Ontario
0,Other
0,PC
0,Paul
0,Peter
0,Phone
0,Project
0,Road
0,SGI
0,See
0,Software
0,Some
0,Steve
0,Systems
0,Thanks
0,Thomas
0,Thu
0,UNIX
0,US
0,USA
0,UUCP
0,Unix
0,Use
0,Usenet
0,Using
0,VMS
0,W
0,When
0,Where
0,access
0,address
0,al
0,allow
0,allows
0,almost
0,amount
0,anonymous
0,answers
0,anybody
0,anyway
0,approach
0,area
0,areas
0,author
0,automatically
0,available
0,back
0,basic
0,bits
0,board
0,ca
0,capability
0,ch
0,change
0,changes
0,check
0,choice
0,cl
0,code
0,color
0,command
0,commercial
0,company
0,complete
0,complex
0,contact
0,contains
0,control
0,convert
0,converting
0,convex
0,copy
0,couple
0,create
0,current
0,currently
0,data
0,deal
0,decwrl
0,defined
0,described
0,designed
0,details
0,developed
0,device
0,devices
0,directly
0,display
0,distribution
0,documentation
0,doing
0,draw
0,e-mail
0,easily
0,edge
0,effect
0,email
0,entire
0,entry
0,environment
0,equipment
0,error
0,errors
0,et
0,expect
0,fast
0,feel
0,fi
0,files
0,fine
0,fit
0,following
0,frames
0,ftp
0,function
0,functions
0,further
0,ge
0,great
0,groups
0,hand
0,heard
0,help
0,high
0,image
0,includes
0,including
0,info
0,inside
0,instead
0,interested
0,internet
0,ira
0,jpl
0,kind
0,known
0,language
0,larger
0,later
0,latest
0,level
0,library
0,limited
0,lines
0,list
0,log
0,loss
0,machine
0,mail
0,math
0,mcsun
0,mil
0,mit
0,mode
0,model
0,movie
0,name
0,nd
0,newsgroup
0,nice
0,note
0,objects
0,obtain
0,off
0,offers
0,old
0,order
0,org
0,output
0,package
0,pass
0,per
0,performance
0,permission
0,picture
0,plus
0,points
0,positions
0,posted
0,print
0,process
0,program
0,programs
0,provide
0,provided
0,public
0,purpose
0,purposes
0,quality
0,range
0,regular
0,removal
0,require
0,research
0,result
0,resulting
0,rochester
0,run
0,runs
0,save
0,sci
0,scientific
0,se
0,selection
0,send
0,sets
0,setting
0,several
0,shape
0,simple
0,single
0,size
0,slightly
0,small
0,smaller
0,sort
0,specific
0,speed
0,standard
0,stanford
0,supports
0,sys
0,systems
0,table
0,takes
0,tape
0,thanks
0,three
0,title
0,together
0,tool
0,tools
0,top
0,torn
0,transformations
0,types
0,ufl
0,uka
0,unix
0,unless
0,user
0,users
0,uses
0,usually
0,variety
0,version
0,versions
0,via
0,while
0,whole
0,wide
0,window
0,windows
0,work
0,working
0,works
0,worth
0,write
0,written
0,y
0,year
0,yourself
0,From
0,of
0,Access
0,Alan
0,Article-I
0,BITNET
0,Colorado
0,Communications
0,Corp
0,Corporation
0,Diego
0,F
0,First
0,K
0,L
0,MI
0,MP
0,MY
0,NT
0,Network
0,Online
0,Program
0,Public
0,Rob
0,San
0,Sciences
0,Services
0,Smith
0,St
0,Stanford
0,Summary
0,Tom
0,acs
0,appreciate
0,backup
0,bad
0,batcomputer
0,box
0,bus
0,buy
0,byu
0,cache
0,caen
0,came
0,canterbury
0,chevron
0,chip
0,client
0,close
0,comparison
0,cost
0,csn
0,demon
0,development
0,document
0,done
0,drive
0,du
0,duke
0,elroy
0,emory
0,especially
0,experience
0,fan
0,fix
0,gave
0,goes
0,greatly
0,home
0,intel
0,load
0,loaded
0,luck
0,market
0,match
0,maybe
0,message
0,mine
0,money
0,month
0,ms
0,msu
0,names
0,needed
0,needs
0,net
0,next
0,nl
0,nodak
0,not-for-mail
0,noticed
0,nz
0,ogicse
0,opinions
0,org
0,pitt
0,price
0,products
0,psinntp
0,ran
0,recently
0,released
0,resources
0,response
0,running
0,security
0,share
0,solution
0,speak
0,std
0,straight
0,supporters
0,supposed
0,tek
0,track
0,twice
0,ubc
0,uchicago
0,uga
0,umass
0,unit
0,upenn
0,usa
0,uwaterloo
0,ux1
0,vs
0,wait
0,went
0,win
0,wondering
0,AT
0,Actually
0,Andy
0,Anyway
0,Are
0,Board
0,Bulletin
0,Case
0,Chris
0,Cleveland
0,Communication
0,Edu
0,Edu
0,Edward
0,Eric
0,Freenet
0,GUN
0,Hawaii
0,III
0,INS
0,IT
0,Just
0,Laboratory
0,Mail
0,Michigan
0,NCR
0,NETCOM
0,NO
0,Not
0,ON
0,Ohio
0,On-line
0,Orleans
0,Ozone
0,Pennsylvania
0,Phil
0,Reserve
0,Richard
0,Sat
0,Sean
0,Service
0,Standard
0,Stephen
0,Tony
0,Univ
0,Washington
0,Western
0,Will
0,Would
0,add
0,ames
0,and/or
0,asking
0,assert
0,b
0,bellcore
0,bet
0,buffalo
0,buying
0,cable
0,changed
0,cleveland
0,clock
0,comm
0,comments
0,communications
0,cornell
0,count
0,csus
0,date
0,days
0,detect
0,dk
0,extra
0,flow
0,follow
0,friend
0,fsu
0,future
0,game
0,gives
0,gov
0,guest
0,happy
0,hook
0,impossible
0,interrupt
0,leave
0,low
0,minutes
0,missing
0,mitre
0,months
0,mot
0,msen
0,music
0,netcom
0,netnews
0,nigel
0,none
0,nwnet
0,pay
0,phone
0,primate
0,properly
0,rate
0,ready
0,replies
0,reply
0,request
0,rpi
0,saimiri
0,sell
0,sent
0,serial
0,service
0,special
0,specifically
0,thinking
0,transfer
0,utah
0,uug
0,waiting
0,wanted
0,wants
0,willing
0,If
0,Adams
0,Ann
0,Arbor
0,Brian
0,Denver
0,Disclaimer
0,Doug
0,Intel
0,MAC
0,Media
0,NATIONAL
0,PST
0,Quantum
0,Sometimes
0,Their
0,With
0,World
0,Yes
0,acns
0,additional
0,advantage
0,advice
0,apparent
0,appear
0,bailey
0,berkeley
0,built
0,care
0,cheaper
0,choose
0,clue
0,comparable
0,cut
0,dec
0,desy
0,easy
0,ends
0,enet
0,field
0,finally
0,floating
0,forward
0,four
0,front
0,games
0,gotten
0,half
0,heat
0,helpful
0,hold
0,hours
0,iastate
0,internal
0,involved
0,isu
0,itself
0,kept
0,kit
0,light
0,lots
0,major
0,media
0,million
0,moved
0,ns
0,numbers
0,nwu
0,obtained
0,ones
0,operation
0,option
0,owner
0,particularly
0,parts
0,personal
0,play
0,portal
0,prices
0,purchased
0,ram
0,recall
0,received
0,release
0,remove
0,responsible
0,room
0,sleep
0,soon
0,sound
0,sounds
0,speakers
0,strange
0,student
0,suggest
0,supply
0,suspect
0,taken
0,technical
0,truly
0,tue
0,turn
0,turned
0,umich
0,uoregon
0,usual
0,uswest
0,v1
0,views
0,wall
0,watson
0,week
0,weeks
0,white
0,within
0,worked
0,wright
0,#include
0,Associates
0,Berkeley
0,Card
0,Code
0,Control
0,Daniel
0,Do
0,Info
0,International
0,Labs
0,Larry
0,MIT
0,Of
0,Open
0,Originator
0,Price
0,Release
0,Santa
0,Server
0,Street
0,Support
